Category,ID,Label,Definition
resource management,T4FS:0000411,change management,"Change management is a broad subject and can be applied to all different types of organizational change. The most common change drivers include:  technological evolution, process reviews, crisis, and consumer habit changes; pressure from new business entrants, acquisitions, mergers, and organizational restructuring."
change management,T4FS:0000289,knowledge of change management,Bin for types of Knowledge related to Change management.
change management,T4FS:0000338,aptitudes for change management,Bin for Aptitudes related to Change management.
change management,T4FS:0000351,skills related to change management,Bin for Skills needed for Change management.
resource management,T4FS:0000426,funding acquisition management,The consideration of available monetary resources for a specific time period to serve a specific purpose.
funding acquisition management,T4FS:0000267,skills related to funding acquisition management,Bin for Skills needed for Funding acquisition management.
funding acquisition management,T4FS:0000321,knowledge of funding acquisition management,Bin for types of Knowledge related to Funding acquisition management.
funding acquisition management,T4FS:0000400,aptitudes for funding acquisition management,Bin for Aptitudes related to Funding acquisition management.
resource management,T4FS:0000466,service level management,It can be considered as a negotiated agreement between the customer and vendor which are acceptable to both parties with respect to costs and expectations in order to support the business process.
service level management,T4FS:0000221,skills related to service level management,Bin for Skills needed for Service level management.
service level management,T4FS:0000348,aptitudes for service level management,Bin for Aptitudes related to Service level management.
service level management,T4FS:0000378,knowledge of service level management,Bin for types of Knowledge related to Service level management.
resource management,T4FS:0000479,cloud computing environment management,"The activity of bringing computer system resources, especially data storage and computing power on demand via Internet."
cloud computing environment management,T4FS:0000131,skills related to cloud computing environment management,Bin for Skills needed for Cloud computing environment management.
cloud computing environment management,T4FS:0000448,aptitudes for cloud computing environment management,Bin for Aptitudes related to Cloud computing environment management.
cloud computing environment management,T4FS:0000526,knowledge of cloud computing environment management,Bin for types of Knowledge related to Cloud computing environment management.
resource management,T4FS:0000544,data repository management,"A type of data management using repositories. It is the set of policies that govern the organization, control, and properties of the repository such as: required file formats, access control restrictions, integrity, replication, retention, disposition, etc."
data stewardship activity,T4FS:0000356,advise and mentor,Management and provision of good data stewardship practice.
data stewardship activity,T4FS:0000382,university teaching,"The application of a comprehensive knowledge of a discipline or disciplines to the development of expertise and the generation of new knowledge through research, and the planning and presentation of courses of study for undergraduates and graduates in universities."
data stewardship activity,T4FS:0000455,integration,"1. The act of bringing together smaller components into a single system that functions as one. 2. In the context of information technology: The end result of a process that aims to stitch together different, often disparate, subsystems so that the data contained in each becomes part of a larger, more comprehensive system that, ideally, quickly and easily shares data when needed. This often requires that organizations build a customized architecture or structure of applications to combine new or existing hardware, software and other communications."
data stewardship activity,T4FS:0000472,governance,"1. Exercising authority to provide direction and to undertake, coordinate, and regulate activities in support of achieving this direction and desired outcomes. Governance can be thought of as the role of an organization's board of directors or its equivalent that is focused on defining that organization's purpose and the development of the strategies, objectives, values, and policies that frame how that purpose will be pursued. It includes the development of such things as mission statements, statements of organizational objectives and values, logic models, organizational performance metrics, risk management frameworks, policies and guidelines for financial and operational matters, stakeholder relations, etc."
governance,T4FS:0000186,research governance,"Ensures that the benefits to society of research outweigh any risks, from both an ethical and legal perspective."
governance,T4FS:0000203,program governance,"The process of developing, communicating, implementing, monitoring, and assuring the policies, procedures, organizational structures, and practices associated with a given program."
governance,T4FS:0000458,data governance,"The exercise of authority, control and shared decision making (planning, monitoring and enforcement) over the management of data assets."
governance,T4FS:0000504,data driven decision management,An approach to governance that values decisions that can be backed up with data that can be verified. The success of the data-driven approach is reliant upon the quality of the data gathered and the effectiveness of its analysis and interpretation.
governance,T4FS:0000524,privacy governance,"Monitoring the risk to privacy posed by data requests from researchers, and the practices of data custodians in providing data (information governance) to ensure that confidentiality is protected. Such governance requires specialized knowledge of technology, law, and statistical methods."
,T4FS:0000372,data stewardship technical concept,
data stewardship technical concept,T4FS:0000002,pipe separated values,A file that contains the values in a table as a series of ASCII text lines organized so that each column value is separated by a pipe.
data stewardship technical concept,T4FS:0000009,data management policy,"A written document backed by management describing policy and providing guidance to ensure that appropriate standards, consistent guidelines, and common strategies are used, providing linkages to and consistency with other similar systems, and fostering a true network across an organization producing data."
data stewardship technical concept,T4FS:0000020,interoperability,"The capability to communicate, execute programs, or transfer data among various functional units in a useful and meaningful manner that requires the user to have little or no knowledge of the unique characteristics of those units. Foundational, syntactic, and semantic interoperability are the three necessary aspects of interoperability."
interoperability,T4FS:0000140,foundational interoperability,Foundational interoperability allows data exchange from one information technology system to be received by another and does not require the ability for the receiving information technology system to interpret the data.REFERENCE. Healthcare information management and systems society
interoperability,T4FS:0000531,descriptive metadata,"Enables identification, location, and retrieval of information resources by users, often including the use of controlled vocabularies for classification and indexing and links to related resources.REFERENCE. DCC/TC3+"
data stewardship technical concept,T4FS:0000024,de facto standard,"A standard that is widely accepted and used, but lacks formal approval by a recognized standards developing organization (e.g., the QWERTY keyboard)."
data stewardship technical concept,T4FS:0000025,data entity,"An object, event, or phenomenon about which data are stored in a database and which has intermediate representation in a Data Model."
data stewardship technical concept,T4FS:0000028,remote access,The ability to get access to a computer or a network from a remote distance. Access may be through an Internet service provider (ISP) or through a dedicated line between a computer or a remote local area network and the central or main corporate local area network. A dedicated line is more expensive and less flexible but offers faster data rates.
data stewardship technical concept,T4FS:0000032,relational database,A collection of data items organized as a set of formally-described tables from which data can be accessed or reassembled in many different ways without having to reorganize the database tables. The standard user and application program interface to a relational database is the structured query language (SQL).
data stewardship technical concept,T4FS:0000039,version control,"Control over time of data, computer code, software, and documents that allows for the ability to revert to a previous revision, which is critical for data traceability, tracking edits, and correcting mistakes. Version control generates a (changed) copy of a data object that is uniquely labeled with a version number. The intent is to track changes to a data object, by making versioned copies. Note that a version is different from a backup copy, which is typically a copy made at a specific point in time, or a replica."
data stewardship technical concept,T4FS:0000045,data organization,"Denotes the complexity of measures that are used by a repository to form aggregations of data objects (including collections and metadata) to describe the properties of data objects, to register PIDs, to build the PID records, to link between all components, and to set up the containers (software stack) that are used to store all..."
data stewardship technical concept,T4FS:0000061,electronic medical record,An electronic version of the paper record that doctors have traditionally maintained for their patients and which is typically only accessible within the facility or office that controls it.
data stewardship technical concept,T4FS:0000073,data dictionary,A collection of descriptions of the data objects or items in a data model.
data stewardship technical concept,T4FS:0000080,dynamic data,Data the content of which is changing frequently and at asynchronous moments. Examples include: Data streams that are generated by sensors when it is unpredictable when data segments will appear in time (i.e. data streams have gaps); Data streams that are generated by humans in crowdsourcing scenarios where it is not clear when which cell in a database will be filled.
data stewardship technical concept,T4FS:0000081,reference model,A design covering a class of frameworks with the following characteristics: (1) it can be used to generate more specific models that still belong to the class and (2) it can be used to compare a concrete framework design to identify whether it belongs to the same class.
data stewardship technical concept,T4FS:0000094,record standardization,"A process in which files are first parsed (assigned to appropriate fields in a record) and then translated to a common format. For example, if an original record had the client’s name and address as “Bob Jones, VP Acme. Co., 15 S. Main St, Brooklyn” the standardized record might read “Bob Jones, Vice President, Acme Corporation, 15 South Main Street, Brooklyn, New York”. Data often lack consistency simply because there are a many of ways of saying the same thing. Standardizing the record ensures that when a query is run for a particular field, accurate results will be returned."
data stewardship technical concept,T4FS:0000096,metadata catalogue,A catalogue containing metadata records in XML-encoded (machine-readable and human-readable) format that enables services to find data and services.
metadata catalogue,T4FS:0000517,metadata record,"A collection of data defined by a theme, category, which reflects what is being measured, observed, monitored at the various sites. The Metadata Record is an information resource of business value."
metadata record,T4FS:0000327,metadata dataset,The set of metadata describing a specific dataset.
data stewardship technical concept,T4FS:0000098,data file format,The layout of a file in terms of how the data within the file are organized. A program that uses the data in a file must be able to recognize and possibly access data within the file.
data stewardship technical concept,T4FS:0000102,curation workflow,A type of workflow that includes active steps to curate data as an aid to on-going management of data through its lifecycle.
data stewardship technical concept,T4FS:0000113,digital object,"A digital object is editable, interactive, accessible and modifiable by means of digital objects other than the one governing its behaviour, and is distributed over information infrastructures. It is a machine-independent data structure consisting of one or more elements in digital form that can be parsed by different information systems; the structure helps to enable interoperability among diverse information systems in the Internet."
data stewardship technical concept,T4FS:0000114,digital materials,"A broad term encompassing: (a) digital surrogates created as a result of converting analogue materials to digital form (digitisation); (b) born digital for which there has never been and is never intended to be an analogue equivalent; and, (c) digital records."
data stewardship technical concept,T4FS:0000118,remote data access,The ability to access and download data from a repository.
data stewardship technical concept,T4FS:0000120,data compliance,"Data compliance consists of the ongoing processes to ensure adherence of data to both enterprise business rules (government department, university, industry, or agency), and to legal, regulatory and accreditation requirements."
data stewardship technical concept,T4FS:0000127,personal information privacy,"The World Wide Web Consortium’s Platform for Personal Privacy Project (P3P) offers specific recommendations for practices that will let users define and share personal information with Web sites that they agree to share it with. The P3P incorporates a number of industry proposals, including the Open Profiling Standard (OPS). Using software that adheres to the P3P recommendations, users will be able to create a personal profile, all or parts of which can be made accessible to a Web site as the user directs. A tool that will help a user decide whether to trust a given Website with personal information is a Statement of Privacy Policy that a Web site can post."
personal information privacy,T4FS:0000222,personally identifiable information,"1. Data which relate to a living individual who can be identified (a) from those data, or (b) from those data and other information which is in the possession of, or is likely to come into the possession of, the data controller, and includes any expression of opinion about the individual and any indication of the intentions of the data controller or any other person in respect of the individual. 2. Any data that could potentially identify a specific individual. Any information that can be used to distinguish one person from another and can be used for de-anonymizing anonymous data can be considered personally identifiable data. 3. Data are identifiable if the information contains the name of an individual, or other identifying items such as birth date, address or geocoding. Data will be identifiable if the information contains a unique personal identifier and the holder of the information also has the master list linking the identifiers to individuals. Data may also be identifiable because of the number of different pieces of information known about a particular individual. It may also be possible to ascertain the identity of individuals from aggregated data where there are very few individuals in a particular category. Identifiability is dependent on the amount of information held and also on the skills and technology of the holder."
data stewardship technical concept,T4FS:0000135,high quality data,"High-quality data are complete, timely, accurate, consistent, relevant, reliable, traceable, cleaned, validated, and well documented."
data stewardship technical concept,T4FS:0000138,schema,1. The organization or structure for a database. The activity of data modeling leads to a schema. (The plural form is schemata.) The term is used in discussing both relational databases and object-oriented databases. The term sometimes seems to refer to a visualization of a structure and sometimes to a formal text-oriented description. Two common types of database schemata are the star schema and the snowflake schema. 2. A formal expression of an inference rule for artificial intelligence (AI) computing. The expression is a generalized axiom in which specific values or cases are substituted for each symbol in the axiom to derive a specific inference.
data stewardship technical concept,T4FS:0000146,cloud ecosystem,"An ecosystem that includes not only traditional elements of cloud computing such as software and infrastructure, but also consultants, integrators, partners, third parties and anything in their environments that has a bearing on the other components."
data stewardship technical concept,T4FS:0000149,archive,"A place or collection containing static records, documents, or other materials for long-term preservation."
data stewardship technical concept,T4FS:0000150,trusted digital repository,"An infrastructure component that provides reliable, long-term access to managed digital resources. It stores, manages, and curates digital objects and returns their bit streams when a request is issued. Trusted repositories undergo regular assessments according to a set of rules such as defined by Data Seal of Approval (DSA) or TRAC (ISO 16363). It is well understood that such an assessment has the potential of increasing trust from its depositors and users, but it will not be the only criterion for users. Repositories can be at different stages of assessments. However, it is evident that certain quality criteria need to be met to distinguish trusted repositories from all types of other entities that store data such as notebooks or lab servers."
data stewardship technical concept,T4FS:0000154,data structure,"A specialized format for organizing and storing data. General data structure types include the array, the file, the record, the table, the tree, and so on. Any data structure is designed to organize data to suit a specific purpose so that it can be accessed and worked with in appropriate ways...."
data stewardship technical concept,T4FS:0000166,data table attribute,"1. A field or column in a database table. It is an abbreviation for 'physical data attribute' which is a single data element related to a data object, such as a table in a database. The database schema associates one or more attributes with each database entity (i.e. table). 2. A term for a logical or conceptual attribute such as in an entity-attribute-relationship (EAR) data model."
data stewardship technical concept,T4FS:0000168,consensus standard,A standard developed through the cooperation of all parties who have an interest in participating in its development and/or use.
data stewardship technical concept,T4FS:0000176,regional standard,"A Regional standard is one that applies across a multi-nation region. Most countries have their own national standards-making bodies, which in turn may also group together to make regional standards. For example, national standards bodies in Europe are also members of the European Committee for Standardization (CEN) as well as members of ISO. The use of such standards may be voluntary, or they may be referenced in regulation (therefore mandatory)."
data stewardship technical concept,T4FS:0000182,registry,"A database containing information about trusted repositories that are provided by the repository managers and are useful for human and machine users. It is a registry information system on which a register is maintained. These registries do not contain information about all metadata descriptions of digital objects, nor do they offer a list of PIDs of all stored digital objects. They do offer information based on standardized types on how to retrieve such information (e.g., the port under which OAI-PMH can be accessed to offer metadata). It is a set of files containing identifiers assigned to items with descriptions of the associated items. It is assignment of a permanent, unique and unambiguous identifier to an item."
data stewardship technical concept,T4FS:0000184,linked open data,"Data where relationships/connections between them are available to allow easy data access. A typical case of a large Linked dataset is DBPedia (http://dbpedia.org/), which essentially makes the content of Wikipedia available in RDF. This related collection of interrelated datasets is stored on the Web and available via a common format -RDF."
data stewardship technical concept,T4FS:0000185,research data format,Research data format is a generic term encompassing the concept of a standardised format for research data.
data stewardship technical concept,T4FS:0000188,semantic interoperability,"The ability of computer systems to transmit data with unambiguous, shared meaning. Semantic interoperability is a requirement to enable machine computable logic, inferencing, knowledge discovery, and data federation between information systems. Semantic interoperability is achieved when the information transferred has, in its communicated form, all of the meaning required for the receiving system to interpret it correctly, even when the algorithms used by the receiving system are unknown to the sending system. Syntactic interoperability is a prerequisite to semantic interoperability."
data stewardship technical concept,T4FS:0000191,data completeness,"The degree to which all required measures are known. Values may be designated as missing in order not to have empty cells, or missing values may be replaced with default or interpolated values. In the case of default or interpolated values, these must be flagged as such to distinguish them from actual measurements or observations."
data stewardship technical concept,T4FS:0000192,privacy-preserving data linkage,Data linkage where the resulting product has been de-identified.
data stewardship technical concept,T4FS:0000196,data management plan,A formal statement describing how research data will be managed and documented throughout a research project and the terms regarding the subsequent deposit of the data with a data repository for long-term management and preservation.
data stewardship technical concept,T4FS:0000201,data stream,"A sequence of digitally encoded, coherent signals used to send or receive a representation of information content as transmitted."
data stewardship technical concept,T4FS:0000213,data lifecycle,"Refers to all the stages in the existence of digital information from creation to destruction. A lifecycle view is used to enable active management of the data objects and resource over time, thus maintaining accessibility and usability."
data stewardship technical concept,T4FS:0000215,data store,"A repository for persistently storing collections of data, such as a database, a file system or a directory. The data stored can be of any type that can be rendered in digital format and placed in electronic media. Examples include text, image, video files and audio files."
data store,T4FS:0000054,data warehouse,"A central repository for all or significant parts of the data that an organization's various business systems collect. A data warehouse tends to be a strategic but somewhat unfinished concept. Data warehousing emphasizes the capture of data from diverse sources for useful analysis and access, but does not generally start from the point-of-view of the &hellip; <a href=CASRAI. https://casrai.org/term/data-warehouse/ class=more-link"
data store,T4FS:0000100,data catalogue,A curated collection of metadata about datasets and their data elements.
data store,T4FS:0000376,data mart,A repository of data designed to serve a particular community of knowledge workers. The goal of a data mart is to meet the particular demands of a specific group of users.
data store,T4FS:0000394,data type registry,"1. A registry that links data types of all sorts with the executable data processing functions that can be useful for working with a specific data type. Examples include: complex file types in biology (diagnosis), registering categories that appear in PID records to describe data properties. Data types range from complex digital objects to simple..."
data store,T4FS:0000397,database,"A collection of data that is organised in a according to a conceptual structure/model describing the characteristics of these data and the relationships among their corresponding entities, supporting one or more application areas. A database allows its contents to be easily accessed, managed and updated. The type of database used depends on the requirements of &hellip; <a href=CASRAI. https://casrai.org/term/database/ class=more-link"
database,T4FS:0000072,dataset series,"A collection of datasets sharing the same product specification. A dataset series is a type of aggregation or collection with some logical grouping such as by a topic (specification) with the (product) unit being a dataset series. Example: A series of earth observations. Each year, month or week (depending on the volume) might be a &hellip; <a href=CASRAI. https://casrai.org/term/dataset-series/ class=more-link"
dataset series,T4FS:0000347,dataset,"Any organized collection of data in a computational format, defined by a theme or category that reflects what is being measured/observed/monitored. The presentation of the data in the application is enabled through metadata.REFERENCE. Research Data Alliance http://smw-rda.esc.rzg.mpg.de/index.php/Main_Page ; Mapping the Data Landscape 2011 Summit; TBS Standard on Geospatial Data (ISO 19115:2003); Environment Canada data stewardship &hellip; <a href=CASRAI. https://casrai.org/term/dataset/ class=more-link"
data store,T4FS:0000413,original repository,A type of repository where the original copy of data was stored and probably a data identifier registered.
data store,T4FS:0000493,data upload database,"A collection of interrelated data often with controlled redundancy, organized according to a scheme to serve one or more applications; the data are stored so that they can be used by several programs without concern for data structures or organization."
data stewardship technical concept,T4FS:0000218,project management lifecycle,"Defines how to manage a project. It will always be the same, regardless of the project lifecycle being employed."
data stewardship technical concept,T4FS:0000219,authenticity metadata,A type of metadata that conveys information needed to link a data object to its original source.
data stewardship technical concept,T4FS:0000224,normalization,"The process of organizing data into tables in such a way that the results of using the database are always unambiguous and as intended. Normalization is typically a refinement process after the initial exercise of identifying the data objects that should be in the database, identifying their relationships, and defining the tables required and the columns within each table."
data stewardship technical concept,T4FS:0000226,data item,A type of data element that expresses a proposition that binds one or more property values to some data entity.
data stewardship technical concept,T4FS:0000227,confidentiality,The duties and practices of people and organizations to ensure that individual's personal information only flows from one entity to another according to legislated or otherwise broadly accepted norms and policies.
data stewardship technical concept,T4FS:0000233,text file,A Text file is a kind of computer file that is structured as a sequence of lines of electronic text. A text file exists stored as data within a computer file system.
data stewardship technical concept,T4FS:0000236,human-readable format,"Data and code that are commented so that humans can understand what it represents, it's design, and purpose.REFERENCE. Wilson G, Aruliah DA, Brown CT, Hong NPC, Davis M, Guy RT, Haddock SHD, Huff K, Mitchell IM, Plumbley MD, Waugh B, White EP, Wilson P (2012). Best practices for scientific computing , arXiv, 29 November, 1-6."
data stewardship technical concept,T4FS:0000244,non personally identifiable information,"Data that could not lead to the identification of a specific individual, to distinguishing one person from another, or to personally identifiable information. These may be data that have been de-identified, or that could not lead to personally identifiable information in the first place."
data stewardship technical concept,T4FS:0000254,data archive,An archival service providing the long-term permanent care and accessibility for digital objects with research value.
data stewardship technical concept,T4FS:0000256,machine readable,In a form that can be used and understood by a computer.
machine readable,T4FS:0000427,machine access via api,To be able to use programmatic methods to access a resource's API to query and extract an appropriate subset of data.
machine access via api,T4FS:0000474,open archives initiative protocol for metadata harvesting,A low-barrier mechanism for repository interoperability. Data Providers are repositories that expose structured metadata via OAI-PMH. Service Providers then make OAI-PMH service requests to harvest that metadata. OAI-PMH is a set of six verbs or services that are invoked within HTTP.
machine readable,T4FS:0000551,machine-readable format,"A machine-readable format is a structured format that can be processed by a computer. Such formats can either be intended solely for machine processing (e.g. XML or RDF), or may be both human and machine accessible via appropriate markup (e.g. HTML)."
data stewardship technical concept,T4FS:0000260,software,A set of instructions that direct a computer to do a specific task.
data stewardship technical concept,T4FS:0000263,data standardization,In the context of data analysis and data mining: Where V represents the value of the variable in the original datasets: Transformation of data to have zero mean and unit variance. Techniques used include: (a) Data normalization; (b) z-score scaling; (c) Dividing each value by the range: recalculates each variable as V /(max V - ...
data stewardship technical concept,T4FS:0000271,cloud computing,"A large-scale distributed computing paradigm that is driven by economies of scale, in which a pool of abstracted, virtualized, dynamically- scalable, managed computing power, storage, platforms and services are delivered on demand to external customers over the Internet."
data stewardship technical concept,T4FS:0000273,short-term preservation,Short-term preservation. Access to digital materials either for a defined period of time while use is predicted but which does not extend beyond the foreseeable future and/or until it becomes inaccessible because of changes in technology.
data stewardship technical concept,T4FS:0000274,international standard,A standard that is used in multiple nations and whose development process is open to representatives from all countries.
data stewardship technical concept,T4FS:0000275,conformance,The state of having satisfied the requirements of some specific standard(s) and/or specification(s).
data stewardship technical concept,T4FS:0000282,governance and accountability model,Provides the relationship and process context for working together to ensure outcomes are achieved.
data stewardship technical concept,T4FS:0000283,access,"The continued, available for use, ongoing usability of a digital resource, retaining all qualities of authenticity, accuracy and functionality deemed to be essential for the purposes the digital material was created and/or acquired for. Users who have access can retrieve, manipulate, copy, and store copies on a wide range of hard drives and external devices."
access,T4FS:0000043,data access protocol,A system that allows outsiders to be granted access to databases without overloading the system.
access,T4FS:0000377,access workflow,A type of access entity that contains the services and functions which make the data object holdings and their information content and related services visible to data consumers.
access,T4FS:0000463,access control list,A list used to grant permission matched against credentials.
access,T4FS:0000523,access controls,"Given a data object name, access controls define access relationships between the following metadata: data object name, a user name (or user group, or user role), and access permission. The information can be stored as metadata information associated with each data object. The information can be generated dynamically by applying the access controls of the collection that organizes the data objects."
data stewardship technical concept,T4FS:0000287,collection management identification,A type of data provenance that adds metadata to identify data collections.
data stewardship technical concept,T4FS:0000292,research data management infrastructure,"The configuration of staff, services and tools assembled to support data management across the research lifecycle and more specifically to provide comprehensive coverage of the stages making up the data lifecycle. It can be organized locally and/or globally to support research data activities across the research lifecycle."
data stewardship technical concept,T4FS:0000309,provenance,"A type of historical information or metadata about the origin, location or the source of something, or the history of the ownership or location of an object or resource including digital objects. For example, information about the Principal Investigator who recorded the data, and the information concerning its storage, handling, and migration."
data stewardship technical concept,T4FS:0000310,digital record,"A record created digitally in the day-to-day business of the organisation and assigned formal status by the organisation. Examples include: word processing documents, emails, databases, or intranet web pages."
data stewardship technical concept,T4FS:0000311,analytical quality control,"Processes and procedures designed to ensure that the results of laboratory analysis are consistent, comparable, accurate and within specified limits of precision."
data stewardship technical concept,T4FS:0000318,digital preservation,The series of managed activities necessary to ensure continued access to digital materials for as long as necessary. Digital preservation is defined very broadly and refers to all of the actions required to maintain access to digital materials beyond the limits of media failure or technological change. Those materials may be records created during the day-to-day business of an organisation; “”born-digital”” materials created for a specific purpose (e.g. teaching resources); or the products of digitisation projects. This definition specifically excludes the potential use of digital technology to preserve the original artefacts through digitisation.
data stewardship technical concept,T4FS:0000324,data retention policy,"An organization's established protocol for retaining information for operational or regulatory compliance needs. The objectives of a data retention policy are to keep important information for future use or reference, to organize information so it can be searched and accessed at a later date, and to dispose of information that is no longer needed."
data stewardship technical concept,T4FS:0000329,research metadata format,Research metadata format is a generic term encompassing the concept of a standardised format for research metadata.
data stewardship technical concept,T4FS:0000332,data element,"A unit of data for which the definition, identification, representation (term used to represent it), and permissible values are specified by means of a set of attributes."
data stewardship technical concept,T4FS:0000333,data policy,"An organization's stated data/information management processes designed to assist and protect the organization's data research assets. It is a set of high-level principles that establish a guiding framework for data management. A data policy can be used to address strategic aspects such as data access, relevant legal matters, data stewardship issues and custodial duties, data..."
data stewardship technical concept,T4FS:0000335,controlled vocabulary,"A list of standardized terminology, words, or phrases, used for indexing or content analysis and information retrieval, usually in a defined information domain."
data stewardship technical concept,T4FS:0000336,data integrity,The assurance that information can only be accessed or modified by those authorized to do so.
data stewardship technical concept,T4FS:0000340,project lifecycle,"Describes the processes and tasks that must be completed to produce a product or service. Different project lifecycles exist for specific products and services. (For example, the lifecycle followed to build a house is very different from the lifecycle followed to develop a software package."
data stewardship technical concept,T4FS:0000342,data traceability,"Data traceability follows the lifecycle of data to track all access and changes to the data. It helps demonstrate transparency, compliance and adherence to regulations. Data traceability, along with data compliance, can be considered part of a data audit process. Data traceability is fundamental to reproducible research."
data stewardship technical concept,T4FS:0000346,relations,Indicates how the different components within a system are linked to fulfill the tasks. Relations are thus defined by the services they are making use of and by the interface specifications.
data stewardship technical concept,T4FS:0000350,extensible markup language,"Extensible Markup Language (XML) is a simple, very flexible text format derived from SGML (ISO 8879). Originally designed to meet the challenges of large-scale electronic publishing, XML is also playing an increasingly important role in the exchange of a wide variety of data on the Web and elsewhere."
data stewardship technical concept,T4FS:0000358,digital infrastructure,"Those layers that sit between base technology (a computer science concern) and discipline-specific science. The focus is on value-added systems and services that can be widely shared across scientific domains, both supporting and enabling large increases in multi- and interdisciplinary science while reducing duplication of effort and resources (e.g., including hardware, software, personnel, services and organizations)."
data stewardship technical concept,T4FS:0000362,cross-disciplinary,"Explains aspects of one discipline in terms of another (e.g., the physics of music; the politics of literature)."
data stewardship technical concept,T4FS:0000373,canonical data collection,"A data collection that has been normalized by some established criteria to allow for effective data management. Examples include: data files that belong to a certain experiment, all files that are created by one specific simulation, all files that belong to a specific observation (same day, same place, etc.)."
data stewardship technical concept,T4FS:0000379,data model,"A model that specifies the structure or schema of a dataset. The model provides a documented description of the data and thus is an instance of metadata. It is a logical, relational data model showing an organized dataset as a collection of tables with entity, attributes and relations."
data model,T4FS:0000496,data reference model,A framework whose primary purpose is to enable information sharing and reuse across the federal government via the standard description and discovery of common data and the promotion of uniform data management practices.n/aCASRAI. https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/DRM_2_0_Final.pdf
data stewardship technical concept,T4FS:0000381,standard,"A document that applies collectively to codes, specifications, recommended practices, classifications, test methods, and guides, which have been prepared by a standards developing organization or group, and published in accordance with established procedures."
data stewardship technical concept,T4FS:0000404,data availability,"The state when data are in the place needed by the user, at the time the user needs them, and in the form needed by the user."
data stewardship technical concept,T4FS:0000423,data linkage,"The process of bringing together from two or more different sources, data that relate to the same individual, family, place or event)."
data stewardship technical concept,T4FS:0000425,catalogue,"A type of collection that describes, and points to features of another collection."
data stewardship technical concept,T4FS:0000428,data structure continuum,"The continuum of data structure that includes unstructured data, semi-structured data, and structured data."
data stewardship technical concept,T4FS:0000430,data,"Facts, measurements, recordings, records, or observations about the world collected by scientists and others, with a minimum of contextual interpretation."
data,T4FS:0000026,real-time data,"Data that are being received, processed and stored at the time of their occurrence with only small delays. Examples include: stock quotes, manufacturing statistics, Web server loads, data warehouse activity and sensor feeds to data collectors. Real-time data are data streams that are typically generated by sensors and received via direct networking connections."
data,T4FS:0000033,non identifiable data,"Data that could not lead to the identification of a specific object of interest. These may be data that have been de-identified, or that could not lead to identifiable information in the first place."
data,T4FS:0000078,documented data,"Data that are delivered with all associated metadata, data dictionary, description of methods and instruments used to collect and process the data, and other supporting data (e.g., duplicate sample results, replicate analyses, percent recovery, etc.)."
data,T4FS:0000085,registered data,Data that have gone through a registration process and have been assigned an identifier metadata to aid in their search and retrieval.
data,T4FS:0000109,raw data,"Data that have not been processed for meaningful use. Although raw data have the potential to become information, they require selective extraction, organization, and sometimes analysis and formatting for presentation. As a result of processing, raw data sometimes end up in a database, which enables the data to become accessible for further processing and analysis."
data,T4FS:0000210,usable data,"Data that can be understood and used without additional information. Usable data are delivered in a form that meets the needs of different end-user audiences, is ready for the tasks that the end-user needs to accomplish, and that has been adapted to the end-user’s needs (not the other way around). Usable data have been cleaned, structured, are in machine readable format, fully documented, and ready for analysis and interpretation."
data,T4FS:0000250,citable data,A type of referable data that has undergone quality assessment and can be referred to as citations in publications and as part of research objects.
data,T4FS:0000251,big data,"An evolving term that describes any voluminous amount of structured, semi-structured and unstructured data that have the potential to be mined for information."
data,T4FS:0000258,noisy data,"Meaningless data, including: Any data that cannot be understood and interpreted correctly by machines, such as unstructured text; any data that has been received, stored, or changed in such a manner that it cannot be read or used by the program that originally created it."
data,T4FS:0000264,open data,"Strutured data that are accessible, machine-readable, usable, intelligible, and freely shared. Open data can be freely used, re-used, built on, and redistributed by anyone - subject only, at most, to the requirement to attribute and sharealike."
data,T4FS:0000265,curated data,"The output of a data curation activity. Such data has generally already been cleaned, standardised, documented. Additional metadata relevant to the data object has also been added, via either manual or automatic methods."
data,T4FS:0000295,structured data,"Data whose elements have been organized into a consistent format and data structure within a defined data model such that the elements can be easily addressed, organized and accessed in various combinations to make better use of the information, such as in a relational database."
data,T4FS:0000312,digital research data,"Research data which is in digital form. It may have been originally created in digital form, or it may have been converted from paper, or other form to a digital representation."
data,T4FS:0000334,legacy data,Data that fall into the category of dark data or at-risk data.
data,T4FS:0000364,semantic data,Data that are tagged with particular metadata that can be used to derive relationships between data.
data,T4FS:0000420,unstructured data,"Data that have not been organized into a format and identifiable data structure that makes them easy to access and process. These data can often be searched as long as they are digital, but they are difficult to use for computer analyses."
data,T4FS:0000431,semi-structured data,"Data that have not been organized into a specialized repository, such as a database, but that nevertheless have associated information, such as metadata, that makes them more amenable to processing than raw data. Semi-structured data lie somewhere between structured and unstructured data. They are not organized in a complex manner that makes sophisticated access and analysis possible. However, they may have information associated with them, such as metadata tagging that allows elements contained to be addressed. Example: A Word document is generally considered to be unstructured data. However, metadata tags could be added in the form of keywords and other metadata that represent the document content and make it easier for that document to be found when people search for those terms — the data are now semi-structured. Nevertheless, the document still lacks the complex organization of a database, so falls short of being fully structured data."
data,T4FS:0000449,repurposed data,"New datasets obtained by combining data appropriately from a variety of existing files, generating new data products that did not previously exist. Repurposed data result from data wrangling."
data,T4FS:0000511,digital data,Data in the form of digital materials.
